0,AggregatedData
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,4475930.6,0.0052801599900071374,8.461153681971083e-05,0.00033372618757929076,0.0013830828671992325,0.003469031527110712,0.039653364441310485,0.009982874587368507,0.026668779873995054,0.003001709979946923,0.47181528913832016,0.06367598979366472,0.9363240102063354,16.227999999999998,0.0006226096210200568
std,7.359800721939872,247513.65056716232,0.0014234765336462107,2.0676930816346625e-05,3.329528269040319e-05,0.0002511186519908593,0.0012657312765392457,0.003257385649760351,0.0009988623952590099,0.0021793559655946407,0.0005265272951878315,0.012831958423874629,0.01907255745006796,0.019072557450067966,1.7789322640280603,0.0002580017635131945
min,1990.0,4040587.0,0.003837295975823134,5.6127945197911774e-05,0.0002690176372612676,0.0009609027396795529,0.002275044955131843,0.03177604050994592,0.008189711791844603,0.02149513226131934,0.002049598881418022,0.44575272246311226,0.03975107716718131,0.8898503608178074,13.3,0.0002803228527764165
25%,1996.0,4273000.0,0.0043098918575853185,6.838393886390917e-05,0.0003174229955325652,0.0012495211362407673,0.002530084300392544,0.03876849667212064,0.009506360495979367,0.02640795993937852,0.00282372980269023,0.4668678006821253,0.049920391905237074,0.9265673771960248,14.5,0.0003838758758147959
50%,2002.0,4478896.0,0.004502931794065338,8.134191176470588e-05,0.0003332508825976479,0.0013406677049181057,0.0028522985951994996,0.04029279341491036,0.00985588459475482,0.027323702455597603,0.0030989696986437588,0.47182997176764113,0.059768342532270445,0.9402316574677295,16.2,0.0005052730993231544
75%,2008.0,4661900.0,0.00565387315703253,0.00010390826117481862,0.000352453187959232,0.0015946978743730594,0.0036179671220189858,0.042066660116463275,0.0104441810855653,0.02843114482104764,0.003417049632352941,0.47969080974117967,0.07343262280397524,0.9500796080947629,17.3,0.0009119962025319589
max,2014.0,4849377.0,0.008716634429400388,0.00011874851860630481,0.0004119922630560928,0.001857512344227604,0.0065459381044487425,0.045214477867449254,0.012685986793837124,0.029547580458439453,0.0036583196817224434,0.49399791618430194,0.11014963918219253,0.9602489228328187,20.1,0.0009827665441176471
0,Alaska
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,648699.04,0.006461429574760884,6.066056286874327e-05,0.0007805152996677274,0.0009433149723489252,0.0046506709284619245,0.038011081357048615,0.0063495577962075075,0.027860018432200886,0.0038015051286402176,0.5060985705658969,0.07232903969029603,0.9276709603097041,9.583999999999998,0.0021573305966976247
std,7.359800721939872,54077.20354924676,0.0006237897940647597,1.7228953752277728e-05,9.4077139688106e-05,0.00022140635266158933,0.0004890858655418573,0.008205271368565355,0.0017133742801362123,0.005470385160660055,0.0011552674590763177,0.010295546497252818,0.006622718089929017,0.006622718089929023,1.5456066770042114,0.0004887112815769408
min,1990.0,550043.0,0.0052450444783407844,3.149728049616807e-05,0.0006023264167104136,0.000679584343714605,0.00367425819435935,0.026378028900616142,0.0039399883955461,0.020520542646368083,0.001917497858701959,0.4846947368421053,0.06330640333422656,0.9108906065037253,7.1,0.0015018476018400138
25%,1996.0,607000.0,0.006100627193103639,4.6116764936067244e-05,0.000729033911894161,0.0008096457912742197,0.004299068303819337,0.0294041430377409,0.005154100444827502,0.022514475916875887,0.0024152687362288877,0.49896699669967,0.06689768077930758,0.9240711866923625,8.5,0.001638316239826694
50%,2002.0,641482.0,0.006353042655143346,6.01591904732523e-05,0.0007927494528912226,0.0008626509125614296,0.004654332509615486,0.036825365430381604,0.006112994350282486,0.026857777238998806,0.0038520176715792494,0.5088233185030913,0.07221092160851197,0.927789078391488,9.4,0.002088923687391202
75%,2008.0,686293.0,0.006613234076297994,7.413509060955519e-05,0.00083454398708636,0.001064039408866995,0.004920195439739414,0.04628183614735575,0.008,0.0338665568369028,0.004571428571428572,0.5132367098867849,0.07592881330763743,0.9331023192206924,10.2,0.00256140350877193
max,2014.0,737259.0,0.007708609271523179,9.105960264900662e-05,0.0009863713798977853,0.0015513245033112583,0.00545575959933222,0.05087719298245614,0.009792982456140352,0.03624337748344371,0.00565410340646095,0.5218960291200845,0.08910939349627463,0.9366935966657735,12.5,0.003003338898163606
0,Arizona
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,5338261.0,0.005484251337580573,7.536502138323024e-05,0.0003485344199430811,0.0014452324560347719,0.003604684475392799,0.053009752733011686,0.010977048019030154,0.034373746765903275,0.00765895794807826,0.48898174926818583,0.06109408740364128,0.9389059125963587,16.12,0.0032363882925559103
std,7.359800721939872,1068584.71592979,0.0010165985853508683,1.400442131412359e-05,3.9665360934740206e-05,0.00023437005315690753,0.0008158844922641644,0.013580213356585016,0.002842674722104813,0.008559080787724297,0.002846656599120059,0.018692349950456065,0.0185730354153628,0.0185730354153628,2.6178871888095814,0.0015345016564383411
min,1990.0,3665228.0,0.00399852395103368,4.738925324638668e-05,0.0002860391417619785,0.000928324274409625,0.0025209894281855235,0.03197511871082216,0.006471381347708767,0.022891089097144105,0.002557047124512641,0.45658332626224246,0.03852947332165464,0.8963487140847706,11.7,0.0010072461394303699
25%,1996.0,4428000.0,0.004856327055558461,6.997188650443064e-05,0.0003275521405049396,0.0013451503071754648,0.0029377648003593745,0.041022402456547355,0.009016058016854917,0.026070047290998096,0.005936297148694344,0.4786452544703179,0.04677193073728204,0.9322098885892648,14.4,0.001511910274975009
50%,2002.0,5441125.0,0.00540327561925213,7.74849477304004e-05,0.00034164135672316197,0.0015252184235000834,0.0034028410471208265,0.0534498230763371,0.010330007767149818,0.035102416491779975,0.008634660654125745,0.48716567021708995,0.05743638251594206,0.9425636174840579,15.8,0.003526265530750723
75%,2008.0,6413158.0,0.006315040650406504,8.232711306256861e-05,0.0003712085417404522,0.0016290650406504065,0.004240289069557362,0.0643550135501355,0.013189242590559824,0.04252484191508582,0.009635394753094969,0.4951793699186992,0.06779011141073524,0.953228069262718,17.8,0.0046110516170486185
max,2014.0,6731484.0,0.00714989837398374,0.0001045398773006135,0.0004298016701461378,0.0017375533428165006,0.00505665650406504,0.07500118539592224,0.016699097573193263,0.04925628259838786,0.011576576576576576,0.5284815078236131,0.10365128591522947,0.9614705266783453,21.2,0.006125398398823692
0,Arkansas
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,2682343.48,0.005095016144793598,7.474134842663243e-05,0.0004040698982664985,0.0009767409541269472,0.003626830150310299,0.039117730734744956,0.010377406562419075,0.02613494894045998,0.002605375231865893,0.47657784146544374,0.060286410085663364,0.9397135899143365,16.952,0.0007997279611520976
std,7.359800721939872,206015.254925681,0.0005087331207126326,2.239267903111776e-05,6.00494582650138e-05,0.00019824819399678296,0.0003023785989401671,0.00295086176358692,0.0013217118041113907,0.002029422176867126,0.0004942324350443127,0.01507315815880399,0.011834450871752085,0.01183445087175208,2.127815781499893,0.00034592122947747094
min,1990.0,2350725.0,0.004249763881478109,4.586546768401294e-05,0.0002782815370390766,0.0006910805769612614,0.0029860309474154076,0.03338020320465863,0.008020872297448942,0.022520629192069517,0.0018881669812487927,0.44384228664741304,0.04260462809759726,0.9169465057298516,13.8,0.0003232449082005226
25%,1996.0,2510000.0,0.00469552801044671,5.604825323463092e-05,0.00037238325281803544,0.0008093671350184696,0.003435454541756333,0.03677814731001396,0.009282505910165485,0.024481769565628513,0.002202161909307736,0.4662065112432335,0.052359607496119766,0.9289532764677758,15.1,0.0004464738435068342
50%,2002.0,2706268.0,0.005130297437477892,6.598787142923131e-05,0.0004185692282876571,0.0009326496858404268,0.003619104240982957,0.03864971159806541,0.01092705293872447,0.025844648920335042,0.002611926989899164,0.48125719049604004,0.05474329369278642,0.9452567063072136,17.3,0.0008648878839651003
75%,2008.0,2855390.0,0.005371107701891881,9.908838684106223e-05,0.0004351961950059453,0.001131991194206043,0.003798309178743961,0.04174900398406375,0.011300632814272063,0.02791602119853241,0.0031294820717131474,0.4859488448844885,0.0710467235322242,0.9476403925038802,18.7,0.0011520882584712371
max,2014.0,2966369.0,0.005951080309824704,0.00011985324092947412,0.0005123643355198415,0.001356239460370995,0.004158003300330033,0.045816610455311976,0.012265177065767284,0.030137858347386172,0.003413575042158516,0.4986924315619968,0.08305349427014841,0.9573953719024028,20.1,0.0012225969645868467
0,California
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,34524565.28,0.006750826245819079,7.626076657600201e-05,0.000289757317907903,0.0023151235593841858,0.004063482303478099,0.036931432696925275,0.008347792318701131,0.02189541697868047,0.006688223399543676,0.4904533675022151,0.07539327038122225,0.9246067296187774,14.975999999999992,0.007487989692675775
std,7.359800721939872,2799689.0735856355,0.002449729030344768,2.8649333810178995e-05,6.775142592269637e-05,0.0009531331676759226,0.001442756063406059,0.010621712707108487,0.002873402726498945,0.005683565890423192,0.0021782421488166772,0.006145923079946578,0.02175319665947912,0.021753196659479113,1.7958934638038342,0.0034764049675743594
min,1990.0,29760021.0,0.003961316925455834,4.37858385413311e-05,0.00019421622317983633,0.001254558340313124,0.002316569685621336,0.02441059210102442,0.0052231170671992785,0.015274015849494234,0.0038966739485499034,0.4826369305770996,0.04897929728779335,0.8776015291648803,12.2,0.004459986291475775
25%,1996.0,31878000.0,0.005042051420006374,5.8275143888186156e-05,0.0002422145686445011,0.0017340398960393126,0.002853795281650409,0.029409522615571282,0.006469874063115518,0.017701714295850445,0.005083101069385144,0.4850067398511212,0.05775176157633255,0.9105184918399191,13.2,0.0055840402367570065
50%,2002.0,35001986.0,0.005953605032583008,6.673727649080669e-05,0.00028248501491365805,0.0018674316583567104,0.0037377021978124325,0.033205900280263836,0.006811842048048359,0.020165597206025825,0.006352896661349444,0.48934123589934303,0.07276163194061709,0.9272383680593829,15.3,0.0067473326711736245
75%,2008.0,36756666.0,0.008626513583035322,9.147374364765669e-05,0.00032135014743710395,0.0029557061296191733,0.005257983562331389,0.04345112616851747,0.009793964489616664,0.026051101072840203,0.007606060606060606,0.494553151256972,0.08948150816008098,0.9422482384236675,16.4,0.007494704715873287
max,2014.0,38802500.0,0.01119720089415881,0.0001312357822562558,0.00042634378517407634,0.004240677746460622,0.006416075420351832,0.05682656352863726,0.013978143515470704,0.03245951283739302,0.010388907175773536,0.5086834448134294,0.12239847083511964,0.9510207027122066,18.2,0.01906605362964595
0,Colorado
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,4378403.08,0.003927482672180507,4.077192660695579e-05,0.000437324159613993,0.0008205826982212535,0.0026161436994443306,0.03858669493369211,0.007375251829906107,0.027378745808378645,0.0038326972954073574,0.5472457826641347,0.05198429893892223,0.9480157010610779,10.468,0.002464070298097522
std,7.359800721939872,648456.9958647938,0.0008633280252357236,1.063967353620154e-05,2.3235577241516726e-05,0.0001743701024449092,0.0006962598387124056,0.009844740191434618,0.0021839755594644386,0.006995088355597676,0.001063041722713751,0.015577764718084015,0.01614384766459754,0.016143847664597536,1.4876491521860926,0.0008682339853354401
min,1990.0,3294394.0,0.0030536300052768487,2.5556234413668663e-05,0.0003949826527888978,0.0005674152415314349,0.0018637783981520788,0.025301230463943645,0.00438248455058435,0.018571039678737293,0.0021503812714730288,0.522697916639438,0.02759378296490341,0.9126364510611433,8.2,0.0012627522951337115
25%,1996.0,3823000.0,0.003387632573812657,3.188306525846367e-05,0.00042065839525748887,0.0006891447155314269,0.002191217877733995,0.028209584213322276,0.005679572811256948,0.019827487075499813,0.0027025243265655164,0.5353606763489734,0.040159304503980496,0.9404617107333507,9.7,0.001543963147290505
50%,2002.0,4501051.0,0.0035388512419181383,3.976848962608955e-05,0.00043547305614221487,0.000804480688150761,0.002347004997413358,0.0391849226643105,0.007037911812152318,0.027363055521900288,0.003977504577556893,0.5467090242330461,0.0502446453958107,0.9497553546041893,10.0,0.0026166745054531683
75%,2008.0,4939456.0,0.004044729270206644,4.608410979602115e-05,0.00045793606281547953,0.0009060847002513967,0.0026593724840255676,0.047140465602929636,0.009007585665707559,0.03415537535966518,0.004503084688726865,0.5516595885409468,0.059538289266649294,0.9598406954960195,11.4,0.0032893100384957063
max,2014.0,5355866.0,0.005788472622478386,6.22478386167147e-05,0.00047418786199949635,0.0012046109510086456,0.004048703170028818,0.0552775411805631,0.012087807347876423,0.03930026650873556,0.005597115344407763,0.5821168471417779,0.08736354893885671,0.9724062170350966,13.7,0.003840634005763689
0,Connecticut
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,3421927.36,0.0035280151003718317,3.842747643876657e-05,0.00021591532380193303,0.001389406131894962,0.0018792079502539445,0.030828897580815154,0.006275265650143025,0.02069882037166861,0.0038548115590035198,0.5303370295951372,0.05679399582131738,0.9432060041786826,8.924,0.0033687127087717044
std,7.359800721939872,128196.02749886598,0.0008828780224383439,1.1653277293543565e-05,3.4455629657799406e-05,0.0004191961353899803,0.0004442076417720242,0.009115288612873898,0.00273926046130081,0.004619160192879163,0.0018648730822987019,0.014239040419468775,0.018459781603712075,0.01845978160371207,1.3032907068903188,0.0007745167983312896
min,1990.0,3270000.0,0.002369409318657194,2.3910960033386372e-05,0.0001587576532449258,0.0008783107295984599,0.0012497647133729273,0.019203837319837172,0.003323901479059699,0.014181145540731068,0.0016987903000464039,0.5070643727318299,0.023930222789829994,0.9088451515237111,6.0,0.0022198071278634584
25%,1996.0,3281000.0,0.0028902824434418628,3.0128289668156784e-05,0.00019421624036201906,0.0011252171078807774,0.0015101210686111145,0.02470598682183668,0.0043147422693367975,0.017399092998361936,0.002539377342733399,0.5180136042037078,0.044738713500700356,0.9336527966498118,8.1,0.0028801995676220465
50%,2002.0,3458587.0,0.003167515543625393,3.5966038023072356e-05,0.0002033878357506111,0.00121789948296775,0.0017272925413540734,0.027012765617866488,0.00494739614761751,0.019082780455711774,0.0033481881473561314,0.5319871716554673,0.05478908554912495,0.945210914450875,8.6,0.0033378912184746277
75%,2008.0,3504809.0,0.0040589312977099236,4.580152671755725e-05,0.00023694656488549619,0.0016320610687022901,0.00214412213740458,0.038156383628588884,0.008422113622480147,0.024840562003665242,0.004893708002443494,0.5362754198473283,0.06634720335018822,0.9552612864992996,9.8,0.003729655592807071
max,2014.0,3599341.0,0.005537072619280853,6.564885496183206e-05,0.0002917046490428441,0.00234765064573322,0.002859649613825615,0.04833020799996106,0.012276719166588583,0.02874404188960779,0.007957459738681252,0.5594354299604983,0.09115484847628881,0.97606977721017,11.7,0.0057107513744654856
0,Delaware
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,802044.64,0.006522632130500784,4.359318875041138e-05,0.0005467160419983981,0.0017904106734898523,0.0041308240347922185,0.03817216731834281,0.007954187783395097,0.02697544159376151,0.0032425379411862086,0.5163966560287917,0.050474549384503284,0.9495254506154968,9.668000000000001,0.002233815597040727
std,7.359800721939872,86158.88040217715,0.0007432940874029659,1.121797843847302e-05,0.00019480073988445957,0.0002793622234550153,0.0004651746696644551,0.0062046122808588995,0.0012151906597162448,0.004428406468921648,0.0011016651873585184,0.020515002271621133,0.015244998437737144,0.015244998437737151,1.8948878594787608,0.0009267153567793362
min,1990.0,666168.0,0.004890905865025534,2.5667162898482704e-05,0.0002661353934421674,0.0013326272102373439,0.0030642978835288912,0.029819989867616345,0.006164935539656312,0.021485231205323252,0.0013541909377157674,0.47850179412909083,0.03408378512570778,0.9158648312692785,6.7,0.0009277330181036197
25%,1996.0,725000.0,0.006150091137001864,3.226026589903777e-05,0.0004249265827656192,0.0016161473087818697,0.003973472157173565,0.03353774959836045,0.006903548716291591,0.02354025772718337,0.002708253350046949,0.5064434402441242,0.039871309633459494,0.9428056490644454,8.4,0.001246507960803271
50%,2002.0,805945.0,0.006552401196094679,4.5099009672002995e-05,0.0004885901888278054,0.0017789688616641143,0.004103695836926735,0.0347637191906978,0.007844116404292289,0.024448938550010735,0.003379122552948179,0.5171357846999485,0.0472594829883628,0.9527405170116372,9.3,0.002175855028075549
75%,2008.0,873092.0,0.007053947666646623,5e-05,0.0007020216631410758,0.0019874476987447698,0.004480627471102702,0.04227285921625544,0.008771857923497267,0.029882758620689655,0.004038283404420215,0.5319323529411765,0.057194350935554604,0.9601286903665405,10.4,0.003113314447592068
max,2014.0,935614.0,0.007859289617486338,6.52852162200547e-05,0.000881159107012045,0.0024357923497267757,0.00498252688172043,0.051551470588235296,0.011276470588235294,0.036523529411764705,0.005810109289617486,0.5450807365439093,0.08413516873072142,0.9659162148742922,13.7,0.0039692756038846085
0,Florida
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,16469002.12,0.008301314196894763,6.540630205166283e-05,0.0004090676575415541,0.0022856995938263726,0.005532004046454988,0.05073516630512575,0.012294852870567084,0.03314150738886978,0.005298806045688894,0.11900397317452026,0.04709142379753775,0.952908576202462,13.975999999999997,0.005967578183157016
std,7.359800721939872,2250422.1215763483,0.0024894196564203973,1.585977638788838e-05,9.882307226581922e-05,0.0008918217403339098,0.0015350430704576088,0.014786226107051607,0.004196528038734353,0.008395386234597195,0.002402376382705173,0.01225314190007416,0.009680223822403328,0.009680223822403322,1.835592547380818,0.002392253576177236
min,1990.0,12937926.0,0.004693445935628266,4.959104985630075e-05,0.00024310838741283238,0.001183654687928166,0.0031149505739985453,0.030977569692644164,0.007087387541962982,0.02210903694334238,0.001781145207338802,0.10445428383754687,0.031144311322119495,0.9311251259830883,11.0,0.0030837195923075654
25%,1996.0,14400000.0,0.006888567104276765,5.435555983550031e-05,0.00032583419993299995,0.0016963460151908543,0.0045202129598206926,0.03986210417665383,0.009445774346419392,0.026189990783801426,0.0034653983939625737,0.10910355000539528,0.0402068024508644,0.9481934179463039,12.6,0.003345727895002953
50%,2002.0,16691701.0,0.007711676599047634,5.7758148385358144e-05,0.00040457230811886697,0.0019902545165681853,0.005300598183492503,0.046564217751084803,0.010618570270339734,0.030642652896789847,0.0053029945839552246,0.1164662007784587,0.04612550298449461,0.9538744970155054,14.3,0.00565939410184275
75%,2008.0,18328340.0,0.010510416666666666,7.320344486799379e-05,0.0005170595767116066,0.002891875,0.007022361111111111,0.06446340277777778,0.015212222222222222,0.042045,0.007315067558345844,0.13164875,0.05180658205369611,0.9597931975491356,15.3,0.007985159733898677
max,2014.0,19893297.0,0.012443261771631712,0.0001065858623708313,0.0005419632265717675,0.004168210577182154,0.007857226405438993,0.07566467763071144,0.021706106527429513,0.04573487986743993,0.009115315702716262,0.13763264683999585,0.06887487401691177,0.9688556886778805,17.8,0.01045762939125771
0,Georgia
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,8444549.76,0.005293989237579706,7.834762866332572e-05,0.00028813555755906794,0.0017960439992120128,0.0031244625108831454,0.04473956721245979,0.010348636336714939,0.029647525359525882,0.00474340551621897,0.9634086515916248,0.0614422111869157,0.9385577888130843,14.884,0.0024212307772433824
std,7.359800721939872,1227606.4582365924,0.00125833325219454,2.1091182004687937e-05,8.420421154656252e-05,0.00044195463295510493,0.0007437034123646402,0.008480041851615636,0.002200776824399937,0.005620208629806279,0.0012188566443537027,0.018585817158439606,0.02173062875589162,0.021730628755891622,2.4438153230826045,0.001243848979101418
min,1990.0,6478216.0,0.003746461132070857,5.594927265945543e-05,0.0002023060285895838,0.0012297294446667801,0.002137220117063353,0.03281219623815889,0.007569119916001665,0.022577954073794083,0.0026595115170396804,0.9252860682307054,0.03229726075158724,0.8894486015517905,11.2,0.0010297230139261167
25%,1996.0,7353000.0,0.004459322601248523,6.175710121802742e-05,0.00023163324074767236,0.0015312628915773701,0.0025933387579727216,0.038734972806855575,0.009092325549680418,0.024980853348699546,0.004093025791307307,0.9482673808347404,0.046268377322008475,0.927683421354823,12.9,0.001259612801068163
50%,2002.0,8544005.0,0.004915477094737945,7.485645023779442e-05,0.00025747828031247766,0.0016643041303298306,0.002826694444144832,0.042234867874192,0.009784906129553649,0.02837177778779746,0.004870160622117386,0.9593896120904162,0.05645017778244437,0.9435498222175557,14.4,0.0022395078177044553
75%,2008.0,9685744.0,0.006387324901400789,8.567931456548347e-05,0.0003205494356045152,0.0020535835713314295,0.0039275125798993605,0.05342678951098512,0.010862944162436548,0.03568729217869018,0.005764034957784032,0.9831700101691782,0.07231657864517707,0.9537316226779915,17.2,0.0036821682017212742
max,2014.0,10097343.0,0.007563193323594027,0.0001281896421561226,0.0005359500208081978,0.002681866223765665,0.004283359838080093,0.06007286573958016,0.01619350142076152,0.03927689378484972,0.006735959406108102,0.9978330453939789,0.11055139844820945,0.9677027392484128,18.8,0.004213818372153886
0,Hawaii
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1250659.8,0.002623721366818188,2.692155766070522e-05,0.0002898977920014003,0.0009223668198490064,0.0013768126502687523,0.048288504315603074,0.00881055340296108,0.034572985452826485,0.004904965459815509,3.3772097866113815,0.059708730837126286,0.9402912691628736,10.46,0.0054672355226620265
std,7.359800721939872,87517.1343214192,0.00015014694713790175,1.0274732600047661e-05,3.678468377670013e-05,0.0001695267725259583,0.00017436310298805062,0.011702056520488094,0.0022903753355160324,0.00873137223716694,0.0015537048609193553,0.26125234124954877,0.020685667935661914,0.02068566793566191,1.7949001829256876,0.0007847370350480424
min,1990.0,1108229.0,0.0023492256834053565,1.4512429533084349e-05,0.0002007064290801315,0.0006628875922914831,0.0011274098910310142,0.030500274380600764,0.005479158697653711,0.022288580765461998,0.0027325349174850536,2.88848281938326,0.035690627074571726,0.8946852380356217,7.5,0.003376324730341685
25%,1996.0,1185497.0,0.0025402926104134884,1.833706309196624e-05,0.0002746017496721115,0.0007952574858436447,0.0012013651877133106,0.036686849220724876,0.007082035985999558,0.025799542611131442,0.003750862068965517,3.2180295608108107,0.04651474076984431,0.9308522357086865,8.9,0.005180337276862453
